Date,USD/INR
22-02-1974,8.2
25-02-1974,8.2
26-02-1974,8.2
27-02-1974,8.2
28-02-1974,8.16
01-03-1974,8.2
04-03-1974,8.2
05-03-1974,8.2
06-03-1974,8.2
07-03-1974,8.08
08-03-1974,8.1
11-03-1974,8.1
12-03-1974,8.1
13-03-1974,8.1
14-03-1974,8.1
15-03-1974,8.03
18-03-1974,8.03
19-03-1974,8.03
20-03-1974,8.03
21-03-1974,8.03
22-03-1974,7.97
25-03-1974,7.97
26-03-1974,7.97
27-03-1974,7.97
28-03-1974,7.97
29-03-1974,7.81
01-04-1974,7.81
02-04-1974,7.81
03-04-1974,7.81
04-04-1974,7.81
05-04-1974,7.84
08-04-1974,7.84
09-04-1974,7.84
10-04-1974,7.81
11-04-1974,7.81
12-04-1974,7.97
15-04-1974,7.97
16-04-1974,8
17-04-1974,7.97
18-04-1974,7.97
19-04-1974,7.87
22-04-1974,7.87
23-04-1974,7.87
24-04-1974,7.87
25-04-1974,7.87
26-04-1974,7.81
29-04-1974,7.81
30-04-1974,7.81
01-05-1974,7.81
02-05-1974,7.81
03-05-1974,7.75
06-05-1974,7.75
07-05-1974,7.87
08-05-1974,7.75
09-05-1974,7.75
10-05-1974,7.72
13-05-1974,7.72
14-05-1974,7.72
15-05-1974,7.72
16-05-1974,7.72
17-05-1974,7.81
20-05-1974,7.81
21-05-1974,7.84
22-05-1974,7.81
23-05-1974,7.81
24-05-1974,7.81
27-05-1974,
28-05-1974,7.81
29-05-1974,7.81
30-05-1974,7.81
31-05-1974,7.87
03-06-1974,7.87
04-06-1974,7.87
05-06-1974,7.87
06-06-1974,7.87
07-06-1974,7.81
10-06-1974,7.81
11-06-1974,7.81
12-06-1974,7.81
13-06-1974,7.81
14-06-1974,7.87
17-06-1974,7.87
18-06-1974,7.87
19-06-1974,7.87
20-06-1974,7.87
21-06-1974,7.87
24-06-1974,7.87
25-06-1974,7.87
26-06-1974,7.81
27-06-1974,7.81
28-06-1974,7.87
01-07-1974,7.81
02-07-1974,7.81
03-07-1974,7.81
04-07-1974,
05-07-1974,7.87
08-07-1974,7.81
09-07-1974,7.81
10-07-1974,7.81
11-07-1974,7.81
12-07-1974,7.87
15-07-1974,7.81
16-07-1974,7.81
17-07-1974,7.81
18-07-1974,7.81
19-07-1974,7.87
22-07-1974,7.81
23-07-1974,7.87
24-07-1974,7.84
25-07-1974,7.84
26-07-1974,7.87
29-07-1974,7.87
30-07-1974,7.87
31-07-1974,7.87
01-08-1974,7.81
02-08-1974,7.81
05-08-1974,7.87
06-08-1974,7.87
07-08-1974,7.87
08-08-1974,7.87
09-08-1974,7.94
12-08-1974,7.94
13-08-1974,7.94
14-08-1974,7.94
15-08-1974,7.94
16-08-1974,8.06
19-08-1974,8.06
20-08-1974,8.06
21-08-1974,8.06
22-08-1974,8.06
23-08-1974,8.06
26-08-1974,8.06
27-08-1974,8.1
28-08-1974,8.1
29-08-1974,8.1
30-08-1974,8.13
02-09-1974,
03-09-1974,8.13
04-09-1974,8.13
05-09-1974,8.13
06-09-1974,8.13
09-09-1974,8.13
10-09-1974,8.13
11-09-1974,8.13
12-09-1974,8.13
13-09-1974,8.12
16-09-1974,8.12
17-09-1974,8.12
18-09-1974,8.12
19-09-1974,8.12
20-09-1974,8.12
23-09-1974,8.12
24-09-1974,8.12
25-09-1974,8.12
26-09-1974,8.12
27-09-1974,8.12
30-09-1974,8.06
01-10-1974,8.06
02-10-1974,8.03
03-10-1974,8.03
04-10-1974,8.03
07-10-1974,8.06
08-10-1974,8.06
09-10-1974,8.06
10-10-1974,8.06
11-10-1974,8.03
14-10-1974,
15-10-1974,8.03
16-10-1974,8.03
17-10-1974,8.03
18-10-1974,8.06
21-10-1974,8.06
22-10-1974,8.06
23-10-1974,8.06
24-10-1974,8.06
25-10-1974,8.06
28-10-1974,8.06
29-10-1974,8.06
30-10-1974,8.06
31-10-1974,8.06
01-11-1974,8.06
04-11-1974,8.06
05-11-1974,
06-11-1974,8.06
07-11-1974,8.06
08-11-1974,8.03
11-11-1974,
12-11-1974,8.03
13-11-1974,8.03
14-11-1974,8.03
15-11-1974,8.1
18-11-1974,8.1
19-11-1974,8.1
20-11-1974,8.1
21-11-1974,8.1
22-11-1974,8.06
25-11-1974,8.06
26-11-1974,8.06
27-11-1974,8.06
28-11-1974,
29-11-1974,8.06
02-12-1974,8.06
03-12-1974,8.06
04-12-1974,8.06
05-12-1974,8.06
06-12-1974,8.1
09-12-1974,8.1
10-12-1974,8
11-12-1974,8
12-12-1974,8
13-12-1974,8.13
16-12-1974,8.13
17-12-1974,8.13
18-12-1974,8.13
19-12-1974,8.13
20-12-1974,8.13
23-12-1974,8.13
24-12-1974,8.13
25-12-1974,
26-12-1974,8.13
27-12-1974,8.13
30-12-1974,8.13
31-12-1974,8.13
01-01-1975,
02-01-1975,8.13
03-01-1975,8.13
06-01-1975,8.13
07-01-1975,8.13
08-01-1975,8.13
09-01-1975,8.13
10-01-1975,8.13
13-01-1975,8.13
14-01-1975,8.13
15-01-1975,8.13
16-01-1975,8.13
17-01-1975,8.13
20-01-1975,8.13
21-01-1975,8.13
22-01-1975,8.13
23-01-1975,8.13
24-01-1975,8.13
27-01-1975,8.13
28-01-1975,8.13
29-01-1975,8.13
30-01-1975,8.13
31-01-1975,8.13
03-02-1975,8.13
04-02-1975,8.13
05-02-1975,8.13
06-02-1975,8.13
07-02-1975,7.94
10-02-1975,7.94
11-02-1975,7.94
12-02-1975,
13-02-1975,7.94
14-02-1975,7.94
17-02-1975,
18-02-1975,7.94
19-02-1975,7.94
20-02-1975,7.94
21-02-1975,7.94
24-02-1975,7.94
25-02-1975,7.94
26-02-1975,7.94
27-02-1975,7.94
28-02-1975,7.75
03-03-1975,7.75
04-03-1975,7.75
05-03-1975,7.75
